Name,Phase,Priority,Type,Subtype,Assignee,Parent,Blocked By
CORE-08-02 · 최종층 보스 강제 진입 규칙 구현,Phase 1 — Frontend Core,P0,Gameplay,Boss,승수 정,CORE-08 · 보스·클리어 (https://app.notion.com/p/CORE-08-3c812168d5218157a131f479afae37dd?pvs=21),
CORE-05-04 · 포커스 이탈·일시정지 처리,Phase 1 — Frontend Core,P1,Gameplay,Combat,,CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21),
CORE-05-03 · 보상 선택→장비 장착·RunState 반영 구현,Phase 1 — Frontend Core,P0,Gameplay,Equipment,,CORE-05 · 전투 노드 (https://app.notion.com/p/CORE-05-3c812168d5218139bac8e6f86512a209?pvs=21),
CORE-01-02 · Scene 등록·전환 데이터 계약 구현,Phase 1 — Frontend Core,P0,Frontend / UI,Interaction,,CORE-01 · 앱 실행·시작·설정 (https://app.notion.com/p/CORE-01-3c812168d5218153b303db38c4a8ae81?pvs=21),
CORE-10-02 · Scene 전환·RunState 연속성 통합 테스트,Phase 1 — Frontend Core,P0,QA,Integration Test,,CORE-10 · 전체 흐름 검증 (https://app.notion.com/p/CORE-10-3c812168d52181248e64df1d93827b26?pvs=21),
CORE-09-02 · 정산 재화 저장·로비 반영 구현,Phase 1 — Frontend Core,P0,Gameplay,Economy,,CORE-09 · 정산·로비 복귀 (https://app.notion.com/p/CORE-09-3c812168d52181a2a682f25ae320558e?pvs=21),
CORE-06-02 · 상점 상품·가격·구매 규칙 구현,Phase 1 — Frontend Core,P0,Gameplay,Economy,승수 정,CORE-06 · 상점 노드 (https://app.notion.com/p/CORE-06-3c812168d521811680c4f05227be39ee?pvs=21),
CORE-04-03 · 노드 상태 전이·결과 멱등성 구현,Phase 1 — Frontend Core,P0,Gameplay,Run,,CORE-04 · 맵·노드 진행 (https://app.notion.com/p/CORE-04-3c812168d5218184af69e24fcc74d9a3?pvs=21),
CORE-03-02 · 클라이언트 RunSession 관리자 구현,Phase 1 — Frontend Core,P0,Gameplay,Run,,CORE-03 · 런 시작 (https://app.notion.com/p/CORE-03-3c812168d52181258ceecd47e02828b1?pvs=21),
CORE-03-03 · 런 저장·새로고침 복구 구현,Phase 1 — Frontend Core,P1,Gameplay,Persistence,,CORE-03 · 런 시작 (https://app.notion.com/p/CORE-03-3c812168d52181258ceecd47e02828b1?pvs=21),
CORE-07-02 · 휴식 회복 규칙 구현,Phase 1 — Frontend Core,P0,Gameplay,Run,승수 정,CORE-07 · 휴식 노드 (https://app.notion.com/p/CORE-07-3c812168d52181f2a3b6e8df87c6c6dd?pvs=21),
CORE-04-02 · Map Scene 렌더링·런 HUD 구현,Phase 1 — Frontend Core,P0,Frontend / UI,HUD,,CORE-04 · 맵·노드 진행 (https://app.notion.com/p/CORE-04-3c812168d5218184af69e24fcc74d9a3?pvs=21),
CORE-10-03 · 맵·상점·휴식 규칙 테스트,Phase 1 — Frontend Core,P1,QA,Unit Test,,CORE-10 · 전체 흐름 검증 (https://app.notion.com/p/CORE-10-3c812168d52181248e64df1d93827b26?pvs=21),
